Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,Nr odpowiedzi,Komentarz,Odpowiedź opisowa,Uwagi
Alicja Małaszek,03,1,A,,,
Alicja Małaszek,03,2,A,,,
Alicja Małaszek,03,3,B,,,
Alicja Małaszek,03,4B,B,,,
Alicja Małaszek,03,5B,B,,,
Alicja Małaszek,03,6B,2,,,
Alicja Małaszek,03,7B,A,,,
Alicja Małaszek,03,8B,C,,,
Alicja Małaszek,03,9B,H,,Utrata pracy,
Alicja Małaszek,03,10B,A,,3/4 etatu,
Alicja Małaszek,03,11B,B,,,
Alicja Małaszek,03,12B,H,,,
Alicja Małaszek,03,13B,E,,,
Alicja Małaszek,03,14B,,,Ubóstwo,
Alicja Małaszek,03,15B,A,,,
Alicja Małaszek,03,16B,,,"Respondentka pracuje krótki okres, ok. 4 miesiące. Do tego najpierw musi pooddawać długi, dodatkowo sytuację pogarsza wysoka inflacja",
Alicja Małaszek,03,17B,A,,Ocena pozytywna,
Alicja Małaszek,03,17B,B,,Nie korzyształam/łem,
Alicja Małaszek,03,17B,C,,Nie korzyształam/łem,
Alicja Małaszek,03,17B,D,,Nie korzyształam/łem,
Alicja Małaszek,03,17B,E,,Nie korzyształam/łem,
Alicja Małaszek,03,17B,F,,Nie korzyształam/łem,
Alicja Małaszek,03,17B,G,,Nie korzyształam/łem,
Alicja Małaszek,03,17B,H,,Nie korzyształam/łem,
Alicja Małaszek,03,17B,I,,Nie korzyształam/łem,
Alicja Małaszek,03,17B,J,,Nie korzyształam/łem,
Alicja Małaszek,03,17B,K,,Nie korzyształam/łem,
Alicja Małaszek,03,17B,L,,Nie korzyształam/łem,
Alicja Małaszek,03,18B,,,"Wszystko opiera się na finansach, jakby było tańsze życie to mona by było normalnie żyć. W obecnej sytuacji jest to życie od 1 do 1",
Alicja Małaszek,03,19B,G,,Nie znam,
Alicja Małaszek,03,19A,F,,,
Alicja Małaszek,03,20B,C,,,
Alicja Małaszek,03,21B,,,"Trudno powiedzieć, jest oferowane wsparcie i dużo zależy od osób co robią, jak gospodarują",
,,,,,,
,,,,,,
Imię i nazwisko osoby wprowadzającej dane:,,,ALICJA MAŁASZEK,,,
