Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,Nr odpowiedzi,Komentarz,Odpowiedź opisowa,Uwagi
Alicja Małaszek,01,1,B,,,
Alicja Małaszek,01,2,A,,,
Alicja Małaszek,01,3,A,,,
Alicja Małaszek,01,4A,B,,,
Alicja Małaszek,01,5A,A,,,
Alicja Małaszek,01,6A,C,,,
Alicja Małaszek,01,7A,A,,,
Alicja Małaszek,01,8A,A,,,
Alicja Małaszek,01,9A,B,,,
Alicja Małaszek,01,10A,M,,,
Alicja Małaszek,01,11A,D,,,
Alicja Małaszek,01,12A,,,Respondent nie może pojechać na wakacje. Brakuje na podstawowe potrzeby.,
Alicja Małaszek,01,13A,A,,,
Alicja Małaszek,01,14A,,,Wszystko drożeje. Praca dodatkowa jest dawana Ukraińcom ,
Alicja Małaszek,01,15A,A,,Nie korzystałam/łem,
Alicja Małaszek,01,15A,B,,Nie korzystałam/łem,
Alicja Małaszek,01,15A,C,,Nie korzystałam/łem,
Alicja Małaszek,01,15A,D,,Nie korzystałam/łem,
Alicja Małaszek,01,15A,E,,Nie korzystałam/łem,
Alicja Małaszek,01,15A,F,,Nie korzystałam/łem,
Alicja Małaszek,01,15A,G,,Nie korzystałam/łem,
Alicja Małaszek,01,15A,H,,Nie korzystałam/łem,
Alicja Małaszek,01,15A,I,,Nie korzystałam/łem,
Alicja Małaszek,01,15A,J,,Nie korzystałam/łem,
Alicja Małaszek,01,15A,K,,Nie korzystałam/łem,
Alicja Małaszek,01,15A,L,,Nie korzystałam/łem,
Alicja Małaszek,01,16A,,,Dodatkowa praca,
Alicja Małaszek,01,17A,G,,Nie znam,
Alicja Małaszek,01,18A,C,,,
Alicja Małaszek,01,19A,A,,,
Alicja Małaszek,01,20A,,,"Samemu trudno sobie pomóc, a co dopiero innym",
,,,,,,
Imię i nazwisko osoby wprowadzającej dane:,,,ALICJA MAŁASZEK,,,
